order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_percent,subtotal,shipping_cost,tax_amount,total_amount,payment_method,order_status,shipping_method,sales_channel,coupon_code,delivery_days,customer_rating
84426079,547877,2025-12-20,Electronics,Bluetooth Speaker,1,69.95,21,69.95,5.9,11.05,72.21,Google Pay,Delivered,Standard,Mobile App,SAVE15,5,5
15571324,734767,2025-08-07,Books & Office,Office Chair,1,171.03,0,171.03,0.0,34.21,205.24,Google Pay,Delivered,Standard,Mobile App,,5,4
22016914,146198,2024-11-18,Home & Kitchen,Air Fryer,2,113.01,8,226.02,0.0,41.59,249.53,Credit Card,Delivered,Standard,Marketplace,FREESHIP,3,4
84877538,657545,2025-12-17,Beauty,Skin Care Set,1,92.21,6,92.21,5.9,17.34,109.92,Credit Card,Delivered,Standard,Website,,5,4
86534254,990071,2024-09-14,Beauty,Electric Toothbrush,3,83.48,5,250.44,0.0,47.58,285.5,Apple Pay,Delivered,Standard,Mobile App,SAVE15,4,4
76202063,644311,2024-12-10,Home & Kitchen,Cookware Set,1,147.47,16,147.47,0.0,18.58,142.45,Apple Pay,Delivered,Standard,Marketplace,FREESHIP,3,4
35442165,412096,2025-11-01,Electronics,Mechanical Keyboard,1,97.27,29,97.27,12.9,13.81,95.77,Credit Card,Delivered,Express,Mobile App,,2,4
44683364,136007,2025-06-07,Beauty,Perfume,1,95.85,10,95.85,5.9,17.25,109.41,Credit Card,Delivered,Standard,Marketplace,WELCOME10,2,5
98956378,908200,2025-08-07,Electronics,Bluetooth Speaker,2,69.22,32,138.44,0.0,18.83,112.97,Google Pay,Delivered,Standard,Mobile App,FREESHIP,4,5
22524350,725173,2025-08-14,Sports,Cycling Helmet,1,71.27,0,71.27,5.9,14.25,91.42,Apple Pay,Delivered,Standard,Website,,5,4
86293474,746525,2025-12-08,Fashion,Cotton Hoodie,2,67.06,4,134.12,12.9,25.75,167.41,Apple Pay,Delivered,Express,Website,VIP20,5,4
73179027,550396,2024-05-05,Home & Kitchen,Cookware Set,1,174.07,4,174.07,0.0,33.42,200.53,Credit Card,Delivered,Standard,Mobile App,SAVE15,3,4
53237834,323672,2025-11-11,Sports,Fitness Tracker,1,96.96,9,96.96,5.9,17.65,111.78,Bank Transfer,Delivered,Standard,Mobile App,SAVE15,3,5
40818525,953303,2025-05-05,Sports,Dumbbell Set,1,119.31,25,119.31,0.0,17.9,0.0,Google Pay,Cancelled,Pickup,Website,VIP20,,
